review_id,platform,rating,review_text,user_name,date,app_version
R001,Google Play,1,"App crashes every time I try to open my task list. This started after the 3.0.1 update. Completely unusable now.",john_doe,2024-04-01,3.0.1
R002,App Store,2,"Can't login since the last update. It just shows a blank white screen after entering my password. iPhone 14, iOS 17.",sarah_k,2024-04-02,3.0.1
R003,App Store,5,"Amazing app! It has completely changed how I manage my day. The UI is beautiful and everything works perfectly.",happy_user,2024-04-01,2.9.5
R004,Google Play,3,"Please add a dark mode feature. I use this app at night and the bright screen hurts my eyes. Would love to see this added soon.",night_owl,2024-04-02,3.0.1
R005,Google Play,1,"Data sync not working at all. My tasks disappear between devices. Lost important work data. This is unacceptable.",angry_user,2024-04-03,3.0.1
R006,App Store,4,"Love the new calendar integration feature! Works great. Would love to see Google Calendar sync added in a future update.",productivity_pro,2024-04-03,3.0.0
R007,Google Play,2,"App is extremely slow. Takes 10+ seconds to load on my Samsung Galaxy S21. Other apps work fine. Very frustrating.",slow_phone,2024-04-04,3.0.1
R008,App Store,1,"BUY CHEAP FOLLOWERS NOW!!! VISIT WWW.FAKESITE.COM FOR BEST DEALS!!!",spammer123,2024-04-04,2.1.3
R009,Google Play,5,"Best productivity app on the market. I've tried dozens and this one is by far the most intuitive. Keep up the great work!",power_user,2024-04-05,3.0.1
R010,App Store,2,"Missing functionality for recurring tasks. I have to manually re-create weekly tasks every single week. Very tedious.",task_master,2024-04-05,3.0.1
R011,Google Play,1,"The app deleted all my projects after I updated it. I had months of work in there. Extremely serious data loss bug!",data_lost,2024-04-06,3.0.1
R012,App Store,4,"Would love to see a Pomodoro timer built into the app. Right now I have to switch between two apps. Please add this!",focus_freak,2024-04-06,3.0.0
R013,Google Play,1,"xksjdhfkjsdhf kjsdhfkjsdhf random random 123456 asdfghjkl nothing burger",random_guy,2024-04-07,1.0.0
R014,App Store,3,"Too expensive for what it offers. The premium plan is $15/month which is way too much. Competitors offer the same for $5.",budget_user,2024-04-07,3.0.1
R015,Google Play,5,"Works perfectly on my Pixel 7. Fast, responsive, and reliable. The offline mode is especially impressive.",pixel_fan,2024-04-08,3.0.1
R016,App Store,1,"Notifications completely broken after update. I'm missing all my task reminders. This defeats the whole purpose of the app.",no_notifs,2024-04-08,3.0.1
R017,Google Play,4,"Please add collaboration features so I can share task lists with my team. Right now it feels too solo-focused.",team_player,2024-04-09,3.0.1
R018,App Store,2,"Poor customer service. I emailed support 2 weeks ago about my subscription being double-charged and got zero response.",billing_issue,2024-04-09,3.0.0
R019,Google Play,1,"App crashes on startup on Android 14. Tried reinstalling 3 times. Still broken. OnePlus 11 device.",oneplus_user,2024-04-10,3.0.1
R020,App Store,5,"Just discovered the subtask feature and it's a game changer. This app keeps getting better and better. 10/10!",subtask_lover,2024-04-10,3.0.1
