source_id,source_type,category,priority,technical_details,suggested_title
R001,app_store_review,Bug,Critical,"Platform: Google Play, Version: 3.0.1, Trigger: Opening task list","[BUG] App Crashes When Opening Task List - v3.0.1"
R002,app_store_review,Bug,High,"Platform: App Store, Device: iPhone 14, OS: iOS 17, Version: 3.0.1, Issue: Blank white screen after login","[BUG] Login Blank Screen on iOS After v3.0.1 Update"
R003,app_store_review,Praise,Low,"N/A","[PRAISE] Positive Review - Beautiful UI and Full Functionality"
R004,app_store_review,Feature Request,Medium,"N/A","[FEATURE] Add Dark Mode for Night Usage"
R005,app_store_review,Bug,Critical,"Platform: Google Play, Version: 3.0.1, Issue: Cross-device data sync failure causing data loss","[BUG] Data Sync Failure - Tasks Disappearing Between Devices"
R006,app_store_review,Feature Request,Medium,"N/A","[FEATURE] Add Google Calendar Sync Integration"
R007,app_store_review,Bug,High,"Platform: Google Play, Device: Samsung Galaxy S21, Version: 3.0.1, Issue: 10+ second load times","[BUG] Severe Performance Degradation - Slow Load Times on Android"
R008,app_store_review,Spam,Low,"N/A","[SPAM] Promotional Spam Review"
R009,app_store_review,Praise,Low,"N/A","[PRAISE] Best Productivity App - Highly Intuitive"
R010,app_store_review,Feature Request,Medium,"N/A","[FEATURE] Add Recurring Task Functionality"
R011,app_store_review,Bug,Critical,"Platform: Google Play, Version: 3.0.1, Issue: All projects deleted after update - data loss","[BUG] CRITICAL: All User Data Deleted After v3.0.1 Update"
R012,app_store_review,Feature Request,Low,"N/A","[FEATURE] Built-in Pomodoro Timer"
R013,app_store_review,Spam,Low,"N/A","[SPAM] Incoherent/Random Text Review"
R014,app_store_review,Complaint,Low,"N/A","[COMPLAINT] Premium Plan Pricing Too High vs Competitors"
R015,app_store_review,Praise,Low,"N/A","[PRAISE] Excellent Performance on Pixel 7 - Offline Mode Highlighted"
R016,app_store_review,Bug,High,"Platform: App Store, Version: 3.0.1, Issue: Push notifications not delivered","[BUG] Push Notifications Broken After v3.0.1 Update"
R017,app_store_review,Feature Request,Medium,"N/A","[FEATURE] Team Collaboration and Shared Task Lists"
R018,app_store_review,Complaint,Medium,"N/A","[COMPLAINT] No Response from Support on Double Billing Issue"
R019,app_store_review,Bug,Critical,"Platform: Google Play, Device: OnePlus 11, OS: Android 14, Version: 3.0.1, Issue: Crash on startup","[BUG] App Crashes on Startup - Android 14 Compatibility Issue"
R020,app_store_review,Praise,Low,"N/A","[PRAISE] Subtask Feature Is a Game Changer"
E001,support_email,Bug,Critical,"Device: Samsung Galaxy S22, OS: Android 13, Version: 3.0.1, Steps: Open app > Tap My Tasks > Crash","[BUG] App Crashes on Task List Open - Samsung Galaxy S22 Android 13"
E002,support_email,Bug,High,"Device: iPhone 13 Pro, OS: iOS 16.5, Version: 3.0.1, Issue: Blank screen after login, tried reset/reinstall","[BUG] Login Results in Blank Screen - iPhone 13 Pro iOS 16.5"
E003,support_email,Feature Request,Low,"N/A","[FEATURE] Dark Mode Request for Evening Usage"
E004,support_email,Bug,Critical,"Devices: iPhone + iPad, OS: iOS 17 / iPadOS 17, Version: 3.0.1, Issue: Tasks not syncing between devices after 30+ min","[BUG] Cross-Device Sync Failure for Premium User - iOS 17"
E005,support_email,Feature Request,Medium,"N/A","[FEATURE] Google Calendar Integration and Sync"
E006,support_email,Bug,Critical,"Device: Google Pixel 6, OS: Android 13, Version: 3.0.1, Issue: Complete data loss after update","[BUG] CRITICAL DATA LOSS: All Projects Deleted After Update"
E007,support_email,Bug,High,"Device: OnePlus 9, RAM: 12GB, Version: 3.0.1, Issue: 15-second load time, laggy scrolling","[BUG] Severe Performance Regression in v3.0.1 - Slow Loading"
E008,support_email,Feature Request,High,"Potential business customer with 50 employees, needs: shared lists, task assignment, comments, progress tracking","[FEATURE] Team Collaboration Suite - Shared Tasks, Assignment, Comments"
E009,support_email,Bug,High,"Device: iPhone 12, OS: iOS 16, Version: 3.0.1, Issue: No notifications despite correct permissions","[BUG] Push Notifications Not Working - iOS 16 v3.0.1"
E010,support_email,Complaint,High,"N/A","[COMPLAINT] Double Billing - Two $14.99 Charges in March"
E011,support_email,Feature Request,Low,"N/A","[FEATURE] Built-in Pomodoro Timer with Customizable Intervals"
E012,support_email,Bug,Critical,"Device: Nothing Phone 2, OS: Android 14, Version: 3.0.1, Issue: Crash on startup before login screen","[BUG] Startup Crash on Android 14 - Nothing Phone 2"
E013,support_email,Complaint,Low,"N/A","[COMPLAINT] Pricing Too High - Considering Cancellation"
E014,support_email,Feature Request,Medium,"N/A","[FEATURE] Recurring Tasks (Weekly/Monthly) Scheduling"
E015,support_email,Praise,Low,"N/A","[PRAISE] Positive Feedback - Improved Productivity with Subtasks"
